"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ITS_SV1","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetaceae","g__Saccharomyces",NA
"ITS_SV2","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Fusarium",NA
"ITS_SV3","k__Fungi","p__Basidiomycota","c__Tritirachiomycetes","o__Tritirachiales","f__Tritirachiaceae",NA,NA
"ITS_SV4","k__Fungi","p__Mucoromycota","c__Mucoromycotina_cls_Incertae_sedis","o__Mucoromycotina_ord_Incertae_sedis","f__Mucoromycotina_fam_Incertae_sedis","g__Bifiguratus",NA
"ITS_SV5","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Exophiala","s__xenobiotica"
"ITS_SV6","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Aspergillus",NA
"ITS_SV7","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Exophiala","s__xenobiotica"
"ITS_SV8","k__Fungi","p__Mucoromycota","c__Mucoromycotina_cls_Incertae_sedis","o__Mucoromycotina_ord_Incertae_sedis","f__Mucoromycotina_fam_Incertae_sedis","g__Bifiguratus","s__adelaidae"
"ITS_SV9","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_fam_Incertae_sedis","g__Acremonium","s__sclerotigenum"
"ITS_SV10","k__Fungi","p__Ascomycota","c__Lichinomycetes","o__Lichinales","f__Heppiaceae","g__Heppia","s__crispatula"
"ITS_SV11","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Desertella",NA
"ITS_SV12","k__Fungi","p__Basidiobolomycota","c__Basidiobolomycetes","o__Basidiobolales","f__Basidiobolaceae","g__Basidiobolus",NA
